ActivityBucket	Department	Project	Status	Archive?	Category	Language	Live	Beta	LastUpdate	DueDate	Involved	GitHub	Telegram	Linked Project	Description	Notes	IP	Framework
empty	Tooling	ergo-utilities-rust		False	Off-chain	Rust	False	False			Robert Kornacki	https://github.com/robkorn/ergo-utilities-rust/						
empty	Tooling	ergo-vanitygen		False	Transactions	Scala	False	False			jellymlg	https://github.com/jellymlg/ergo-vanitygen						
empty	Tooling	ergo-web-template		False	Templates	JS/TS	False	False			c8, Glasgow	https://github.com/SavonarolaLabs/ergo-web-template						
empty	Tooling	ergo_client		False	Libraries	Rust	False	False			soysor	https://github.com/ross-weir/ergo_client			Rust library containing HTTP clients for various Ergo applications			
empty	Tooling	ergo_mainnet_p2s_to_testnet_p2s		False	Transactions	Python	False	False			nitram148	https://github.com/nitram147/ergo_mainnet_p2s_to_testnet_p2s			Python script converting Ergo's mainnet P2S addresses to testnet P2S addresses			
empty	Tooling	ergobay-org		False	Demo	JS/TS	False	False			c8, xhabit	https://github.com/SavonarolaLabs/ergobay-org						
empty	Tooling	ergoexplorer-websockets-demo		False	Demo	Python	False	False			noob77777	https://github.com/noob77777/ergoexplorer-websockets-demo		explorer				
empty	Tooling	ergohack-sidechain		False	Scaling	JS/TS	False	False			soysor, kushti	https://github.com/ross-weir/ergohack-sidechain						
empty	Tooling	ergomatic (Machina Finance)		False	Off-chain	JS/TS	False	False			"""Allison "", soysor"	https://github.com/nautls/ergomatic						
empty	Tooling	ergonode-spyder		False	Node-tools	C#	False	False			chriswill	https://github.com/chriswill/ergonode-spyder			A spider for the Ergo node network that captures node information for analytics and reporting.			
empty	Tooling	ergopay-frontend-example		False	Demo; Transactions	Java	False	False			MrStahlfelge	https://github.com/MrStahlfelge/ergopay-frontend-example						
empty	Tooling	ergopay-payment-portal		False	Demo; Transactions	Kotlin	False	False			MrStahlfelge	https://github.com/MrStahlfelge/ergopay-payment-portal						
empty	Tooling	ergopay-server-example		False	Demo	Java	False	False			MrStahlfelge	https://github.com/MrStahlfelge/ergopay-server-example						
empty	Tooling	ergoscript-by-example		False	ErgoScript	ErgoScript	False	False				https://github.com/ergoplatform/ergoscript-by-example						
empty	Tooling	ergoscript-compiler		False	ErgoScript	Scala	False	False				https://github.com/ergoplatform/ergoscript-compiler/						
empty	Tooling	ergotxverify		False	Transactions	Scala	False	False			Zargarzadeh, vorujack	https://github.com/ergopool-io/ergotxverify			Project to verify a transaction using a custom context!			
empty	Tooling	fleet-ergo-chained-token-sender		False	Transactions	JS/TS	False	False			MGpai	https://github.com/mgpai22/fleet-ergo-chained-token-sender			Sends transactions in a chained transaction to one recipient per transaction. Only one token type can be sent per transaction.			
empty	Tooling	fleet-sdk-burntokens		False	Tokens; Demo	JS/TS	False	False			ladopixel	https://github.com/ladopixel/fleet-sdk-burntokens						
empty	Tooling	fleet-sdk-createtoken		False	Demo; Tokens	JS/TS	False	False			ladopixel	https://github.com/ladopixel/fleet-sdk-createtoken						
empty	Tooling	"fleet-sdk-sendnft
"		False	Demo; NFTs	JS/TS	False	False			ladopixel	https://github.com/ladopixel/fleet-sdk-sendnft						
empty	Tooling	flowcardLib		False	ErgoScript; Templates	ErgoScript	False	False			lgd	https://github.com/lucagdangelo/flowcardLib						
empty	Tooling	go-ergo-example		False	Demo	Go, C	False	False			soysor	https://github.com/ross-weir/go-ergo-example						
empty	Tooling	https://escript.online/		False	ErgoScript	JS/TS	False	False			c8	https://github.com/SavonarolaLabs/escript-online						
empty	Tooling	indexed-node-explorer		False	Node-tools	JS/TS	False	False			Luivatra	https://github.com/Luivatra/indexed-node-explorer		Reference Client (Node)				
empty	Tooling	miner-rewarder		False	Mining	JS/TS	False	False			MGpai	https://github.com/mgpai22/miner-rewarder			Bot on Ergo Network which rewards a random miner from a user-defined group of blocks. This reward process occurs at regular, specified intervals.			
empty	Tooling	mobilERG		False	Utilities	Python	False	False			ladopixel	https://github.com/ladopixel/mobilERG			"Interact with the Ergo blockchain by making and receiving phone calls and SMS.

"			
empty	Tooling	mosaik-demo-tokenburn		False	Demo; Transactions; Tokens	Kotlin	False	False			MrStahlfelge	https://github.com/MrStahlfelge/mosaik-demo-tokenburn		Mosaik				
empty	Tooling	off-the-grid		False	Off-chain	Rust	False	False			Telefragged	https://github.com/Telefragged/off-the-grid/						
empty	Tooling	ogre		False	Libraries	JS/TS	False	False			soysor	https://github.com/ross-weir/ogre		Reference Client (Node)	TypeScript Ergo node client library targeting web/browser & Deno/native platforms			
empty	Tooling	ogre		False	Node-tools	TypeScript	False	False			Ross Weir	https://github.com/ross-weir/ogre			TypeScript Ergo node client library targeting web/browser & Deno/native platforms			
empty	Tooling	onchain-notifications-service		False	Utilities	Scala	False	False			noob77777	https://github.com/ergopad/onchain-notifications-service			Scala Play based Service for On-Chain Transaction Monitoring and Event Tracking			
empty	Tooling	oracle-pool-bootstrap		False	Demo; Oracles	Scala	False	False			scalahub	https://github.com/scalahub/oracle-pool-bootstrap		oracle-core				
empty	Tooling	reduced-transactions		False	Transactions	JS/TS	False	False			zkastn	https://github.com/zkastn/reduced-transactions						
empty	Tooling	rosetta-ergo		False	APIs	Go	False	False			soysor	https://github.com/ross-weir/rosetta-ergo			Rosetta API for Ergo in Golang			
empty	Tooling	scala-play-next-ergo		False	Templates	Scala	False	False			kii	https://github.com/kii-dot/scala-play-next-ergo			"Scala Play with Ergo Appkit and NextJs

"			
empty	Tooling	"schedulERG
"		False	Demo	Python	False	False			ladopixel	https://github.com/ladopixel/schedulERG			Create and query tokens on the Ergo blockchain by encrypting and decrypting the description with a password.			
empty	Tooling	schnorr sig schema implementation		False	Cryptographic	JS/TS	False	False			"""Allison """	https://github.com/nautls/ergsnap/blob/main/packages/snap/src/ergo/ergoSchnorr.ts						
empty	Tooling	scorex_crypto_avltree		False	Cryptographic	Rust	False	False			soysor	https://github.com/knizhnik/scorex_crypto_avltree		sigma-rust				
empty	Tooling	sigma-builders		False	Libraries	Scala	False	False			lgd	https://github.com/GuapSwap/sigma-builders		AppKit	protocol abstractions			
empty	Tooling	sigma-rust-mini 		False	Utilities	Rust	False	False			morphic	https://github.com/aslesarenko/sigma-rust-mini		sigma-rust	Minified sigma-rust			
empty	Tooling	"sigmajs-crypto-facade
"		False	Libraries	JS/TS	False	False			"""Allison """	https://github.com/arobsn/sigmajs-crypto-facade						
empty	Tooling	sigmaspace		False	Interaction		False	False			Alesfatalis	https://sigmaspace.io/						
empty	Tooling	sigmastate-interpreter		False	ErgoScript	Scala, ErgoScript	False	False			morphic	https://github.com/ScorexFoundation/sigmastate-interpreter						
empty	Tooling	tERGminal		False	Utilities	Python	False	False			ladopixel	https://github.com/ladopixel/tERGminal			interact with the Ergo blockchain from the terminal.			
empty	Tooling	tidyergo		False	Analytics		False	False				https://github.com/Eeysirhc/tidyergo			R/Tidyverse package for Ergo blockchain statistics.			
empty	Tooling	tokenjay		False	Utilities		False	False			MrStahlfelge	https://tokenjay.app/						
empty	Tooling	trade-in		False	Demo	Scala, JS/TS	False	False			lgd	https://github.com/lucagdangelo/trade-in			"Card game token burn and trade-in protocol for Ergo blockchain.

"			
empty	Tooling	transaction-builder		False	Transactions	JS/TS	False	False			haileypdll	https://github.com/ThierryM1212/transaction-builder/						
empty	Tooling	tslib-template		False	Templates	JS/TS	False	False			"""Allison """	https://github.com/arobsn/tslib-template			A modern, minimal, runtime-agnostic TypeScript library template			
empty	Tooling	txbuilder-service		False	Transactions	JS/TS	False	False			nirvanush	https://github.com/nirvanush/txbuilder-service						
empty	Tooling	uexplorer		False	Interaction	Scala	False	False			pragmaxim	https://github.com/pragmaxim/ergo-uexplorer						
empty	Tooling	"yoroi-ergo-wallet-recover
"		False	Wallets	Java	False	False			Aberg	https://github.com/satsen/yoroi-ergo-wallet-recover						
empty	Tooling			False	Mining		False	False				https://github.com/mhssamadani/Autolykos2-CPUMiner						
empty	Tooling			False	Mining		False	False				https://github.com/mhssamadani/Autolykos2_AMD_Miner						
empty	Tooling			False	Mining		False	False				https://github.com/mhssamadani/Autolykos2_NV_Miner						
empty	Tooling			False	Mining		False	False				https://github.com/mhssamadani/ergoAMDminer						
empty	Tooling			False	Mining		False	False				https://github.com/mhssamadani/ErgoStratumProxy						
empty	Tooling			False	Mining		False	False				https://github.com/mhssamadani/ErgoStratumServer						
empty	Tooling			False	Mining		False	False				https://github.com/reqlez/ErgoStratumServer						
empty	Tooling			False	Mining		False	False				https://github.com/vorujack/node-stratum-pool						
empty	Tooling			False	Oracles		False	False				https://github.com/abchrisxyz/OraclePoolHub						
empty	Tooling			False	Oracles		False	False				https://github.com/reqlez/tn-ergo-easy-oracle						
empty	Tooling			False	Oracles		False	False				https://github.com/scalahub/OraclePool						
empty	Tooling			False	Oracles		False	False				https://github.com/sininen-taivas/ergo-oracle						
empty	Tooling			False	Oracles		False	False				https://github.com/thedelphiproject/ergo-oracle-stats-backend						
empty	Tooling			False	Oracles		False	False				https://github.com/thedelphiproject/ergo-oracle-tools-js						
empty	Tooling			False	Utilities		False	False				https://github.com/Itaggergaard/Ergo-node-TUI-installer			Terminal installer for Ergo nodes.			
empty	Tooling, Testing	contract-testing		False	Off-chain; ErgoScript	Scala	False	False			anon-real	https://github.com/anon-real/contract-testing						
empty	Wallets	Bitget Wallet		False			False	False										
empty	Wallets	ELLIPAL		False			False	False										
empty	Wallets	Ledger	Done	False	Wallets	C	False	True			"""Allison "", Glasgow"	https://github.com/tesseract-one/ledger-app-ergo/issues/11						
empty	Wallets	Okto DeFi Wallet(https://okto.tech/)		False			False	False										
empty	Wallets	Satergo		False		Java	True	False			Aberg	https://t.me/Satergo						
empty	Wallets	ergo-paper-wallet		False	Wallets	JS/TS	True	False			"""Allison """	https://github.com/anon-br/ergo-paper-wallet						
empty	Websites	ergcube		False			False	False			HQ							
empty	Websites	ergo.watch		False			False	False			abchris							
empty	Websites	ergonaut.space		False			False	False			Glasgow							
empty	Websites	scastie		False	ErgoScript		False	False										
empty	Websites	wallet.plutomonkey.com		False	ErgoScript		False	False										
empty		Community Moderation		False			False	False										
empty		Content Contributors Programme		False			False	False										
empty		ErgoNation		False	PoP		False	False							Currently inactive PoP project that used small games to verify personhood.			
empty		Getting Started		False			False	False										
empty		Integrations Outreach		False			False	False										
empty		Integrations Outreach		False			False	False										
empty		Integrations Outreach		False			False	False										
empty		LinkedIn 		False			False	False										
empty		Run a competition		False			False	False										
empty		Sigs Mining Pool		False	Mining		False	False				https://github.com/marctheshark3/sigmanaut-mining-pool-ui						
empty		Social Outreach		False			False	False										
empty		Student Outreach Programme		False			False	False										
empty		Twitter KOL Targetting		False			False	False										
empty				False			False	False										
